bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
AC Botha,6,124,115,12,5.56,9.583333333333334,10.333333333333334
AC Douglas,8,121,115,12,5.7,9.583333333333334,10.083333333333334
AC Evans,31,724,940,45,7.79,20.88888888888889,16.08888888888889
AC Gilchrist,1,1,0,1,0.0,0.0,1.0
AC Lenham,20,326,434,13,7.99,33.38461538461539,25.076923076923077
AC McDermott,14,286,397,21,8.33,18.904761904761905,13.619047619047619
AC Thomas,84,1832,2345,112,7.68,20.9375,16.357142857142858
AC Voges,17,171,197,7,6.91,28.142857142857142,24.428571428571427
ACF Stokes,11,246,234,15,5.71,15.6,16.4
ACF Wyatt,1,18,23,0,7.67,,
ACR Birch,60,1277,1700,73,7.99,23.28767123287671,17.493150684931507
AD Mascarenhas,35,754,939,44,7.47,21.34090909090909,17.136363636363637
AD Mathews,105,1853,2322,70,7.52,33.17142857142857,26.47142857142857
AD Russell,348,6375,8985,389,8.46,23.097686375321338,16.388174807197945
AD Thomason,20,375,646,26,10.34,24.846153846153847,14.423076923076923
ADL Stokoe,4,74,67,3,5.43,22.333333333333332,24.666666666666668
ADS Fletcher,5,44,56,2,7.64,28.0,22.0
AE Isesele,2,17,16,2,5.65,8.0,8.5
AE Paraam,2,43,70,2,9.77,35.0,21.5
AEN Riley,12,237,344,13,8.71,26.46153846153846,18.23076923076923
AF Ifill,14,285,334,16,7.03,20.875,17.8125
AF Milne,106,2385,3070,129,7.72,23.7984496124031,18.488372093023255
AG Cremer,30,634,732,39,6.93,18.76923076923077,16.256410256410255
AG Murtaza,12,269,322,12,7.18,26.833333333333332,22.416666666666668
AG Salter,76,1453,2015,68,8.32,29.63235294117647,21.36764705882353
AG Weligamage,10,212,333,7,9.42,47.57142857142857,30.285714285714285
AJ Ball,13,194,319,5,9.87,63.8,38.8
AJ Blake,8,80,98,1,7.35,98.0,80.0
AJ Finch,27,225,346,9,9.23,38.44444444444444,25.0
AJ Hall,2,49,61,3,7.47,20.333333333333332,16.333333333333332
AJ Hickey,1,18,11,1,3.67,11.0,18.0
AJ Hosein,105,2278,2516,103,6.63,24.42718446601942,22.116504854368934
AJ Ireland,10,213,308,20,8.68,15.4,10.65
AJ McKay,2,35,32,2,5.49,16.0,17.5
AJ Michael,3,46,52,3,6.78,17.333333333333332,15.333333333333334
AJ Nair,30,468,597,22,7.65,27.136363636363637,21.272727272727273
AJ Pienaar,10,79,102,3,7.75,34.0,26.333333333333332
AJ Redmond,1,18,24,2,8.0,12.0,9.0
AJ Turner,57,581,714,26,7.37,27.46153846153846,22.346153846153847
AJ Tye,224,5080,6832,356,8.07,19.191011235955056,14.269662921348315
AJA Gray,9,178,222,13,7.48,17.076923076923077,13.692307692307692
AK Heal,3,72,88,3,7.33,29.333333333333332,24.0
AK Kitchen,45,801,1031,28,7.72,36.82142857142857,28.607142857142858
AK Markram,38,450,566,17,7.55,33.294117647058826,26.470588235294116
AK Muslar,1,25,36,1,8.64,36.0,25.0
AK Perera,1,6,17,0,17.0,,
AK Russell,2,48,54,2,6.75,27.0,24.0
AL Fekete,15,247,422,13,10.25,32.46153846153846,19.0
AL Hughes,86,1499,2023,61,8.1,33.16393442622951,24.57377049180328
AL Kerai,1,6,10,0,10.0,,
AL Menaria,12,113,144,3,7.65,48.0,37.666666666666664
AL Phehlukwayo,81,1492,2042,84,8.21,24.30952380952381,17.761904761904763
AL Stephen,8,147,187,9,7.63,20.77777777777778,16.333333333333332
AM Ali,4,73,96,4,7.89,24.0,18.25
AM Ellis,29,546,798,31,8.77,25.741935483870968,17.612903225806452
AM Fernando,3,60,117,3,11.7,39.0,20.0
AM Guruge,5,97,126,5,7.79,25.2,19.4
AM Hardie,31,481,691,23,8.62,30.043478260869566,20.91304347826087
AM Kimote,38,632,786,45,7.46,17.466666666666665,14.044444444444444
AM Lilley,73,1091,1394,47,7.67,29.659574468085108,23.21276595744681
AM McCarthy,3,29,42,0,8.69,,
AM Nayar,19,239,323,9,8.11,35.888888888888886,26.555555555555557
AM Oyede,2,30,31,0,6.2,,
AM Patel,2,26,19,1,4.38,19.0,26.0
AM Phangiso,106,2308,2499,110,6.5,22.71818181818182,20.98181818181818
AM Rahane,1,6,5,1,5.0,5.0,6.0
AM Salvi,7,156,205,7,7.88,29.285714285714285,22.285714285714285
AMA Dewar,1,7,11,0,9.43,,
AN Ahmed,17,362,515,15,8.54,34.333333333333336,24.133333333333333
AN Hyobeom,2,26,35,1,8.08,35.0,26.0
AN Petersen,6,66,65,4,5.91,16.25,16.5
AN Toube,5,112,143,4,7.66,35.75,28.0
AO Morgan,2,31,38,0,7.35,,
AO Suji,2,39,54,1,8.31,54.0,39.0
AP Beard,9,176,297,10,10.12,29.7,17.6
